timestamp,baroPressurePa,baroTemperatureK,baroAltitudeM,,n,timestamp,baroPressurePa
277969,101872.998,298.2400002,47.10993042,,1,277969,101872.998
278025,101877.002,298.3500008,47.470882,,2,278025,101877.002
278081,101884.9976,298.4400009,48.17148062,,3,278081,101884.9976
278137,101888.0005,298.5100006,48.4405759,,4,278137,101888.0005
278194,101886.9995,298.5599998,48.36274361,,5,278194,101886.9995
278250,101891.9983,298.6099991,48.8001133,,6,278250,101891.9983
278306,101890.0024,298.65,48.63523579,,7,278306,101890.0024
278362,101890.0024,298.6800007,48.64012141,,8,278362,101890.0024
278419,101894.0002,298.6999992,48.98678638,,9,278419,101894.0002
278475,101894.0002,298.7299999,48.99170649,,10,278475,101894.0002
278531,101896.0022,298.7400002,49.1653317,,11,278531,101896.0022
278587,101896.9971,298.7600006,49.25409624,,12,278587,101896.9971
278643,101897.998,298.7700008,49.34174441,,13,278643,101897.998
278700,101896.0022,298.7799992,49.17191457,,14,278700,101896.0022
278756,101896.0022,298.7899994,49.17356036,,15,278756,101896.0022
278812,101894.0002,298.7999996,49.00318644,,16,278812,101894.0002
278868,101896.9971,298.7999996,49.26069054,,17,278868,101896.9971
278925,101896.0022,298.8099998,49.17685195,,18,278925,101896.0022
278981,101897.998,298.8200001,49.35000176,,19,278981,101897.998
279037,101896.9971,298.8200001,49.26398785,,20,279037,101896.9971
279093,101896.0022,298.8200001,49.17849774,,21,279093,101896.0022
279150,101897.998,298.8200001,49.35000176,,22,279150,101897.998
279206,101901.001,298.8300003,49.60969955,,23,279206,101901.001
279262,101896.9971,298.8300003,49.26563651,,24,279262,101896.9971
279318,101900,298.8300003,49.52368481,,25,279318,101900
279375,101900,298.8400005,49.5253421,,26,279375,101900
279431,101901.001,298.8400005,49.61135972,,27,279431,101901.001
279487,101896.9971,298.8400005,49.26728516,,28,279487,101896.9971
279543,101897.998,298.8400005,49.35330483,,29,279543,101897.998
279600,101897.998,298.8400005,49.35330483,,30,279600,101897.998
279656,101900,298.8500008,49.5269994,,31,279656,101900
279712,101894.0002,298.8500008,49.01138663,,32,279712,101894.0002
279768,101900,298.8500008,49.5269994,,33,279768,101900
279824,101900,298.8500008,49.5269994,,34,279824,101900
279881,101894.0002,298.8500008,49.01138663,,35,279881,101894.0002
279937,101900,298.8599991,49.52865637,,36,279937,101900
279993,101896.9971,298.8599991,49.27058216,,37,279993,101896.9971
280050,101896.9971,298.8599991,49.27058216,,38,280050,101896.9971
280106,101897.998,298.8599991,49.35660758,,39,280106,101897.998
280162,101896.9971,298.8599991,49.27058216,,40,280162,101896.9971
280218,101900,298.8599991,49.52865637,,41,280218,101900
280275,101897.998,298.8599991,49.35660758,,42,280275,101897.998
280331,101895.0012,298.8599991,49.09905382,,43,280331,101895.0012
280387,101897.998,298.8599991,49.35660758,,44,280387,101897.998
280443,101898.999,298.8699993,49.44428673,,45,280443,101898.999
280499,101901.001,298.8699993,49.61633991,,46,280499,101901.001
280556,101900,298.8699993,49.53031366,,47,280556,101900
280612,101896.9971,298.8599991,49.27058216,,48,280612,101896.9971
280668,101903.0029,298.8599991,49.78672442,,49,280668,101903.0029
280724,101897.998,298.8599991,49.35660758,,50,280724,101897.998
280781,101896.9971,298.8699993,49.27223081,,51,280781,101896.9971
280837,101897.998,298.8699993,49.35825911,,52,280837,101897.998
280893,101901.001,298.8699993,49.61633991,,53,280893,101901.001
280949,101901.001,298.8699993,49.61633991,,54,280949,101901.001
281006,101902.002,298.8699993,49.70236547,,55,281006,101902.002
281062,101892.9993,298.8699993,48.92863535,,56,281062,101892.9993
281118,101897.998,298.8699993,49.35825911,,57,281118,101897.998
281174,101895.0012,298.8699993,49.10069674,,58,281174,101895.0012
281231,101897.998,298.8699993,49.35825911,,59,281231,101897.998
281287,101895.0012,298.8699993,49.10069674,,60,281287,101895.0012
