timestamp_ms,baro_temp_k,baro_pressure_pa,imu_acceleration_x_mss,imu_acceleration_y_mss,imu_acceleration_z_mss
"975,063",282.222,"99,541",-1.132813,0.460938,-0.929688
"975,079",282.222,"99,513",-0.789063,-1.734375,-1.843750
"975,094",282.222,"99,530",-1.039063,-1.343750,-2.585938
"975,109",282.217,"99,517",0.125000,-2.000000,-3.578125
"975,125",282.222,"99,484",0.164063,-2.242188,-3.984375
"975,140",282.217,"99,477",-0.484375,-0.750000,-4.601563
"975,156",282.222,"99,468",1.164063,-1.695313,-4.867188
"975,171",282.222,"99,449",1.429688,-0.851563,-5.062500
"975,187",282.222,"99,444",1.835938,-2.023438,-5.296875
"975,202",282.222,"99,416",1.671875,-1.031250,-5.460938
"975,218",282.211,"99,401",2.359375,-1.390625,-5.640625
"975,233",282.217,"99,391",1.976563,-0.031250,-5.976563
"975,248",282.211,"99,372",0.359375,0.875000,-5.804688
"975,264",282.217,"99,322",0.015625,-0.625000,-5.718750
"975,279",282.211,"99,326",1.140625,-0.281250,-5.851563
"975,295",282.211,"99,337",2.101563,-0.554688,-5.789063
"975,310",282.211,"99,310",1.593750,0.039063,-5.992188
"975,326",282.211,"99,298",1.203125,0.296875,-5.867188
"975,341",282.211,"99,298",1.093750,-0.351563,-5.820313
"975,357",282.206,"99,256",0.765625,0.632813,-5.921875
"975,372",282.211,"99,262",0.765625,0.562500,-5.890625
"975,387",282.211,"99,235",0.937500,0.585938,-5.687500
"975,403",282.211,"99,183",0.890625,0.359375,-5.851563
"975,418",282.211,"99,167",0.679688,0.789063,-5.726563
"975,434",282.211,"99,183",0.632813,0.117188,-6.046875
"975,449",282.206,"99,164",0.289063,0.359375,-5.664063
"975,465",282.206,"99,152",0.687500,0.585938,-5.882813
"975,480",282.206,"99,112",0.304688,0.835938,-5.898438
"975,496",282.206,"99,096",0.179688,0.359375,-5.742188
"975,511",282.211,"99,092",0.156250,0.882813,-5.812500
"975,527",282.206,"99,061",-0.031250,0.718750,-5.726563
"975,542",282.206,"99,044",0.007813,0.554688,-5.757813
"975,557",282.194,"99,047",-0.023438,0.804688,-5.585938
"975,573",282.206,"99,022",0.109375,0.781250,-5.734375
"975,588",282.200,"99,008",-0.070313,0.601563,-5.703125
"975,604",282.206,"99,021",-0.257813,0.421875,-5.531250
"975,619",282.206,"98,975",-0.390625,1.148438,-5.429688
"975,635",282.200,"98,963",-0.257813,-0.109375,-5.546875
"975,650",282.200,"98,962",-0.164063,0.750000,-5.687500
"975,666",282.200,"98,946",-0.289063,0.179688,-5.414063
"975,681",282.206,"98,902",-0.343750,0.210938,-5.421875
"975,696",282.206,"98,878",-0.382813,0.757813,-5.476563
"975,712",282.200,"98,888",-0.601563,0.468750,-5.390625
"975,727",282.200,"98,871",-0.421875,0.757813,-5.453125
"976,177",282.144,"98,445",0.476563,0.062500,-4.710938
"976,192",282.144,"98,399",-28.632813,-67.992188,255.968750
"976,214",282.150,"98,515",-10.140625,4.679688,-34.203125
"976,229",282.144,"98,446",0.132813,-14.171875,-3.671875
"976,245",282.150,"98,418",0.031250,-1.101563,-5.539063
"976,260",282.156,"98,398",0.515625,1.203125,-5.812500
"976,275",282.150,"98,379",0.671875,3.250000,-5.679688
"976,291",282.156,"98,358",-0.187500,0.359375,-6.023438
"976,306",282.156,"98,329",-0.343750,-0.125000,-5.695313
"976,322",282.161,"98,291",-0.804688,0.164063,-6.039063
"976,337",282.167,"98,270",-1.273438,0.210938,-6.085938
"976,353",282.161,"98,269",-0.015625,1.007813,-6.000000
"976,368",282.167,"98,236",-0.890625,1.078125,-6.250000
"976,384",282.167,"98,231",-1.156250,0.171875,-5.781250
"976,399",282.167,"98,224",-1.343750,-0.093750,-5.734375
"976,414",282.167,"98,213",-1.539063,-0.515625,-5.835938
"976,430",282.167,"98,207",-1.445313,-0.234375,-6.320313
"976,445",282.172,"98,192",-1.601563,0.109375,-5.656250
"976,461",282.172,"98,176",-1.382813,-0.218750,-5.601563
"976,476",282.172,"98,153",-1.226563,-0.382813,-5.546875
"976,492",282.183,"98,128",-1.281250,-0.421875,-5.437500
"976,507",282.172,"98,101",-0.960938,-1.085938,-5.218750
"976,523",282.172,"98,096",-0.796875,-0.265625,-5.484375
"976,538",282.172,"98,090",-0.843750,-1.109375,-5.695313
"976,554",282.183,"98,065",-0.531250,-1.015625,-5.351563
"976,569",282.178,"98,057",-0.578125,-0.726563,-5.093750
"976,584",282.178,"98,034",-0.242188,-0.257813,-5.851563
"976,600",282.172,"98,027",-0.828125,-0.031250,-5.296875
"976,615",282.178,"98,018",-1.429688,0.250000,-5.359375
"976,631",282.183,"97,991",-0.898438,0.335938,-5.726563
"976,646",282.183,"97,990",-0.195313,0.312500,-5.500000
"976,662",282.172,"97,958",-0.570313,-0.164063,-5.554688
"976,677",282.189,"97,970",-0.531250,0.031250,-5.687500
"976,693",282.183,"97,950",-0.500000,1.179688,-5.507813
"976,708",282.178,"97,926",-0.648438,0.609375,-4.953125
"976,723",282.183,"97,922",-0.460938,-0.109375,-5.078125
"976,739",282.189,"97,924",-0.570313,-0.289063,-5.031250
"976,754",282.178,"97,897",0.250000,0.554688,-5.242188
"976,770",282.183,"97,889",-0.281250,0.507813,-5.031250
"976,785",282.183,"97,893",-0.125000,0.515625,-5.320313
"976,801",282.183,"97,859",-0.312500,0.015625,-5.070313
"976,816",282.189,"97,816",-0.460938,-0.382813,-5.101563
"976,832",282.183,"97,836",-0.343750,0.273438,-4.835938
"976,847",282.189,"97,810",-0.437500,0.023438,-5.468750
"976,862",282.178,"97,806",-0.171875,0.687500,-5.007813
"976,878",282.189,"97,793",-0.398438,0.093750,-4.664063
"976,893",282.183,"97,786",-0.398438,0.359375,-4.781250
"976,909",282.183,"97,757",-0.796875,0.031250,-4.718750
"976,924",282.183,"97,752",-0.820313,-0.640625,-4.726563
"976,940",282.183,"97,739",-0.695313,-0.140625,-4.843750
"976,955",282.183,"97,694",-0.750000,-0.414063,-4.523438
"976,971",282.172,"97,702",-0.664063,-0.351563,-4.812500
"976,986",282.183,"97,676",-0.429688,-0.031250,-4.820313
"977,001",282.183,"97,678",-0.500000,0.257813,-4.726563
"977,017",282.189,"97,696",-0.851563,0.085938,-4.843750
"977,032",282.183,"97,666",-0.578125,-0.054688,-5.031250
"977,048",282.183,"97,649",-0.812500,0.039063,-4.671875
"977,063",282.183,"97,638",-0.859375,-0.210938,-4.679688
"977,079",282.183,"97,609",-0.804688,-0.109375,-4.781250
"977,094",282.183,"97,625",-0.757813,0.101563,-4.539063
"977,110",282.183,"97,585",-0.882813,0.093750,-5.164063
"977,125",282.183,"97,590",-0.523438,-0.156250,-4.546875
"977,140",282.178,"97,549",-0.882813,-0.484375,-4.757813
