--offload
MSG:	Starting Offload
timestampMs	pressurePa	barometerTemperatureK	accelerationMSS_x	accelerationMSS_y	accelerationMSS_z	velocityRadS_x	velocityRadS_y	velocityRadS_z	imuTemperatureK	batteryVoltageV	altitudeM	velocityMS	accelerationMSS	unfilteredAltitudeM	flightState	drogueContinuity	drogueFired	mainContinuity	mainFired
117162	101287.062500	303.33	-1.225831	0.837970	-10.041281	-0.001064	-0.001064	0.018091	307.50	0.00	0.62	1.19	0.20	3.300659	0	0	0	0	0
122162	101296.140625	303.20	-1.206677	0.876277	-9.983820	-0.002128	-0.002128	0.017027	307.15	0.01	0.11	0.38	0.18	2.528373	0	0	0	0	0
127162	101299.218750	302.85	-1.273715	0.809240	-9.964667	0.001064	0.000000	0.017027	306.76	0.01	-0.37	0.09	0.17	2.258670	0	0	0	0	0
132162	101290.906250	302.45	-1.206677	0.847547	-9.998186	-0.009578	-0.007449	0.022348	306.86	0.00	-0.35	0.25	0.17	2.987019	0	0	0	0	0
137162	101286.218750	302.07	-1.192312	0.780509	-10.002974	-0.007449	-0.002128	0.018091	306.47	0.01	0.15	0.69	0.18	3.397764	0	0	0	0	0
142162	101308.406250	301.73	-1.206677	0.809240	-9.959878	-0.009578	-0.002128	0.019156	306.08	0.01	-0.46	0.10	0.18	1.453708	0	0	0	0	0
147162	101306.562500	301.45	-1.163581	0.900219	-9.988609	-0.010642	-0.003192	0.018091	305.93	0.00	-0.74	-0.27	0.18	1.615244	0	0	0	0	0
152162	101312.187500	301.21	-1.192312	0.876277	-9.931148	-0.044697	-0.015963	0.021284	305.78	0.01	-0.97	-0.45	0.17	1.122432	0	0	0	0	0
157162	101302.109375	300.98	-1.187524	0.895431	-9.988609	-0.003192	0.006385	0.019156	305.68	0.01	-0.13	0.21	0.18	1.992123	0	0	0	0	0
162162	101295.765625	300.78	-1.197100	0.857124	-9.988609	-0.006385	-0.003192	0.019156	305.24	0.00	-0.08	0.08	0.17	2.544271	0	0	0	0	0
167162	101300.687500	300.62	-1.201889	0.924161	-9.950302	0.015963	-0.001064	0.014899	305.34	0.01	0.22	0.28	0.18	2.115878	0	0	0	0	0
172162	101286.140625	300.47	-1.168370	0.814028	-9.998186	0.002128	0.001064	0.018091	305.00	0.01	0.08	0.41	0.18	3.382066	0	0	0	0	0
177162	101317.953125	300.35	-1.225831	0.737414	-10.050858	-0.022348	-0.002128	0.019156	304.85	0.00	-0.38	-0.13	0.19	0.613236	0	0	0	0	0
182162	101310.953125	300.22	-1.187524	0.790086	-10.002974	0.000000	-0.002128	0.015963	304.80	0.01	-0.51	-0.25	0.20	1.222427	0	0	0	0	0
187162	101307.703125	300.12	-1.187524	0.794874	-10.007762	-0.003192	-0.003192	0.015963	304.66	0.01	-0.23	0.10	0.19	1.505277	0	0	0	0	0
192162	101281.281250	300.00	-1.168370	0.847547	-9.998186	0.010642	-0.004256	0.017027	304.61	0.00	0.36	0.48	0.20	3.805068	0	0	0	0	0
197162	101293.625000	299.88	-1.154005	0.775721	-9.983820	-0.006385	-0.005321	0.015963	304.51	0.01	0.36	0.56	0.19	2.730593	0	0	0	0	0
202162	101290.359375	299.78	-1.158793	0.842759	-10.007762	-0.013834	-0.017027	0.020220	304.17	0.01	0.19	0.30	0.17	3.014843	0	0	0	0	0
207162	101290.843750	299.69	-1.225831	0.900219	-9.993397	-0.004256	-0.005321	0.018091	304.26	0.00	0.04	-0.09	0.19	2.972681	0	0	0	0	0
212162	101291.312500	299.60	-1.244984	0.814028	-9.993397	0.000000	0.002128	0.021284	304.17	0.01	0.54	0.40	0.17	2.931879	0	0	0	0	0
217162	101276.218750	299.53	-1.177947	0.780509	-9.993397	-0.009578	-0.003192	0.014899	304.12	0.01	1.09	0.88	0.19	4.245769	0	0	0	0	0
222162	101299.812500	299.46	-1.187524	0.833182	-10.017339	-0.004256	-0.004256	0.018091	304.17	0.00	0.03	-0.06	0.19	2.192035	0	0	0	0	0
227162	101304.062500	299.40	-1.201889	0.852335	-10.012551	-0.002128	-0.003192	0.015963	303.82	0.01	0.67	0.45	0.19	1.822132	0	0	0	0	0
232162	101288.968750	299.33	-1.192312	0.823605	-9.979032	-0.007449	-0.004256	0.019156	304.07	0.01	0.49	0.28	0.19	3.135889	0	0	0	0	0
