timestampMs	pressurePa	barometerTemperatureK	accelerationMSS_x	accelerationMSS_y	accelerationMSS_z	velocityRadS_x	velocityRadS_y	velocityRadS_z	imuTemperatureK	batterVoltageV	altitudeM	velocityMS	accelerationMSS	unfilteredAltitudeM	flightState	drogueContinuity	drogueFired	mainContinuity	mainFired
10145116	100066.453125	284.56	-9.864110	-0.086191	-0.287304	0.013834	-0.001064	-0.006385	290.26	3.95	-1.17	0.17	-0.06	104.070259	0	0	0	0	0
10150116	100066.453125	284.56	-9.868899	-0.014365	-0.272938	0.012770	-0.002128	-0.007449	290.07	3.95	-1.08	-0.05	0.04	104.070259	0	0	0	0	0
10155116	100080.953125	284.55	-9.859322	-0.047884	-0.306457	0.011706	-0.002128	-0.006385	290.07	3.95	-0.83	-0.04	0.08	102.865226	0	0	0	0	0
10160116	100062.703125	284.55	-9.816226	-0.162805	-0.244208	-0.004256	-0.008513	-0.003192	290.07	3.95	-0.88	0.00	0.06	104.381935	0	0	0	0	0
10165116	100077.203125	284.53	-9.916783	-0.052672	-0.325611	0.004256	-0.001064	-0.012770	290.07	3.95	-0.90	0.36	0.31	103.176856	0	0	0	0	0
10170116	100073.468750	284.51	-9.902418	0.019153	-0.282515	0.011706	0.003192	-0.010642	289.82	3.94	-1.52	-0.03	0.09	103.487205	0	0	0	0	0
10175116	100091.703125	284.51	-9.907206	-0.047884	-0.296881	0.012770	-0.002128	-0.008513	289.97	3.95	-1.94	-0.33	0.30	101.971923	0	0	0	0	0
10180116	100069.734375	284.50	-10.759542	-1.963245	-1.249773	0.296918	0.120257	-0.114936	289.92	3.95	-1.02	0.31	0.17	103.797561	0	0	0	0	0
10185116	100087.968750	284.50	-9.864110	-0.105344	-0.301669	0.009578	-0.002128	-0.007449	289.82	3.94	-1.46	-0.07	0.05	102.282234	0	0	0	0	0
10190116	100065.953125	284.48	-10.084377	-1.762132	-1.393425	0.042569	-0.015963	0.058532	289.82	3.95	-1.06	0.32	-0.10	104.111816	0	0	0	0	0
10195116	100065.953125	284.48	-9.888052	-0.067037	-0.296881	0.009578	-0.001064	-0.010642	290.26	3.95	-0.92	0.32	0.16	104.111816	0	0	0	0	0
10200116	100065.953125	284.48	-9.854534	-0.019153	-0.306457	0.010642	-0.001064	-0.009578	289.77	3.95	-1.16	0.15	0.07	104.111816	0	0	0	0	0
10205116	100080.453125	284.46	-9.251194	-0.210689	-0.732625	0.041504	-0.024477	0.028734	289.72	3.95	-1.59	-0.07	0.01	102.906776	0	0	0	0	0
10210116	100080.453125	284.46	-9.897629	-0.047884	-0.325611	0.010642	-0.002128	-0.009578	290.07	3.95	-1.74	-0.26	-0.05	102.906776	0	0	0	0	0
10215116	100076.718750	284.45	-9.878476	-0.095768	-0.301669	0.011706	0.000000	-0.007449	289.82	3.94	-1.52	-0.14	0.11	103.217109	0	0	0	0	0
10220116	100072.984375	284.43	-9.883264	-0.081402	-0.268150	0.011706	0.000000	-0.006385	289.92	3.95	-1.38	0.02	0.07	103.527458	0	0	0	0	0
10225116	100072.984375	284.43	-9.888052	-0.047884	-0.292092	0.012770	-0.002128	-0.007449	289.92	3.95	-1.33	0.11	0.23	103.527458	0	0	0	0	0
10230116	100069.203125	284.41	-9.878476	-0.052672	-0.306457	0.011706	0.000000	-0.006385	289.97	3.94	-0.99	0.38	0.04	103.841712	0	0	0	0	0
